variant,n_folds,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb256_g32_e32_mean,3,0.5867600000000001,0.011516457788747367,0.59034,0.012145336553591226,0.99532,0.008105997779422312,0.7408133333333333,0.010364831563191637,0.5682866666666667,0.021380891780590768
emb256_g32_e64_mean,3,0.6022266666666667,0.02716810875518085,0.6060066666666667,0.027145064622014332,0.9953,0.008140638795573724,0.75294,0.022164954319826614,0.5825,0.03664032205098633
emb256_g32_e8_mean,3,0.6009133333333333,0.02469008977977469,0.60454,0.025562417726028932,0.9949266666666666,0.008787271097066111,0.7515733333333333,0.01978086280558394,0.5818466666666667,0.025540981448122398
emb256_g64_e128_mean,3,0.6047933333333333,0.021908941857911198,0.6079533333333333,0.023024389966583986,0.9937533333333334,0.010819544044613575,0.7540066666666666,0.018693670943218575,0.5881,0.028698515641057083
emb256_g64_e16_mean,3,0.5966266666666666,0.024577960316782475,0.6016199999999999,0.02587085618992921,0.9966333333333334,0.005831237718815219,0.7497,0.01981842576997476,0.5829266666666667,0.025949191381107312
emb256_g64_e256_mean,3,0.6004666666666667,0.022503247173093335,0.6032466666666666,0.022322449089052347,0.9942533333333333,0.009953518640829167,0.75062,0.01846260003358142,0.5833066666666666,0.022592568099561682
emb256_g64_e32_mean,3,0.5985199999999999,0.006382444672693984,0.6024466666666667,0.007917583806524128,0.99488,0.008868100134752675,0.7500666666666667,0.00590478901683486,0.5828466666666667,0.01180776580616896
emb256_g64_e64_mean,3,0.5983266666666667,0.013621517291892732,0.6019266666666667,0.014947137964618296,0.9949,0.008833459118601263,0.7497866666666667,0.011755719175504907,0.58472,0.020623898758479187
emb256_g64_e8_mean,3,0.61412,0.038147608050833316,0.61708,0.038218717927214645,0.9924733333333333,0.01134866218253649,0.7604466666666667,0.030234088928448536,0.6014333333333334,0.04002619309069166
emb256_g8_e128_mean,3,0.6212733333333333,0.03267841693432126,0.6258199999999999,0.03242399728596091,0.9966466666666667,0.005808143708047611,0.76842,0.024872804425717664,0.6017733333333334,0.03817643426687899
