variant,coverage,runs,params,acc_dec,precision_dec,recall_dec,f1_dec,acc_bub,decisions,bubbles
emb16_g128_e8_mean,20,5,21225,0.5942594718714121,0.5972458512273101,0.995795016685257,0.7460992313547968,0.5853720050441362,4355,3965
emb16_g128_e16_mean,20,5,23329,0.608955223880597,0.6121947785378709,0.996459845512201,0.7578896718865934,0.5952080706179067,4355,3965
emb16_g128_e32_mean,20,5,27537,0.6084959816303099,0.6118762462101855,0.9960347067987867,0.7574995907660478,0.5906683480453973,4355,3965
emb16_g128_e64_mean,20,5,35953,0.6110218140068886,0.6147879388097872,0.9973091231284209,0.7601682393293501,0.5941992433795712,4355,3965
emb16_g128_e128_mean,20,5,52785,0.6128587830080368,0.6156810104634599,0.9965154920650112,0.7607550855634356,0.5964691046658259,4355,3965
emb16_g128_e256_mean,20,5,86449,0.6149253731343284,0.617930956015461,0.9972895393989137,0.7627045946964496,0.5979823455233292,4355,3965
emb16_g256_e8_mean,20,5,74857,0.5834672789896671,0.5863968884760277,0.9958731494020072,0.7377348750404312,0.5730138713745271,4355,3965
emb16_g256_e16_mean,20,5,79009,0.6029850746268657,0.6067201972413153,0.9964560679527106,0.7538717803779973,0.587641866330391,4355,3965
emb16_g256_e32_mean,20,5,87313,0.6016073478760046,0.6060376633210645,0.9979458268520169,0.7535122474208789,0.587389659520807,4355,3965
emb16_g256_e64_mean,20,5,103921,0.6123995407577497,0.6163563111927395,0.9972457507124616,0.7611545735040427,0.5974779319041614,4355,3965
emb16_g256_e128_mean,20,5,137137,0.600459242250287,0.6041312613933156,0.9971526970957202,0.7518161053794152,0.5868852459016394,4355,3965
emb16_g256_e256_mean,20,5,203569,0.6206659012629162,0.6230917808866279,0.9962691721294253,0.766341885056674,0.6070617906683481,4355,3965
emb32_g8_e8_mean,20,5,1137,0.6009184845005741,0.6044162365906288,0.9961800327695672,0.7516400103122183,0.5866330390920554,4355,3965
emb32_g8_e16_mean,20,5,1321,0.6013777267508611,0.6054629207846441,0.9971836192728104,0.7529378385449345,0.587641866330391,4355,3965
