variant,n_runs_total,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb16_g256_e64_mean,15,0.60962,0.04277015314445342,0.6143,0.042209392996616975,0.99612,0.006404038904138087,0.7592266666666666,0.032829178368959405,0.5934666666666667,0.043179751647976765
emb16_g256_e8_mean,15,0.5783066666666666,0.03472645073934824,0.5819066666666667,0.03346152303481601,0.9947333333333334,0.007448266017447737,0.7338266666666666,0.02763637527056033,0.5668333333333333,0.03814567316161009
emb16_g32_e128_mean,15,0.6193333333333333,0.033895546834917634,0.6230733333333334,0.032921475115941005,0.9966066666666666,0.005423028498471873,0.7663266666666666,0.025619731978821843,0.6031133333333333,0.03313776151304184
emb16_g32_e16_mean,15,0.5926733333333334,0.03363067194151932,0.5950266666666667,0.03237848639069438,0.9927333333333334,0.008754971376853488,0.7436133333333333,0.026348783291688837,0.57724,0.03807100133772609
emb16_g32_e256_mean,15,0.62836,0.033187859225927784,0.6321933333333334,0.03318916489860307,0.99772,0.005126708774364194,0.77354,0.025653844045010383,0.6069666666666667,0.03520226589027363
emb16_g32_e32_mean,15,0.60934,0.034455308527341404,0.61346,0.03500413853083252,0.99532,0.008766347993483784,0.7586133333333334,0.02820668276102231,0.5914933333333333,0.03563859197688985
emb16_g32_e64_mean,15,0.6182666666666666,0.036537410703994626,0.6217266666666666,0.03750966478630477,0.9960066666666667,0.007170521665289136,0.7650133333333333,0.02903413918295561,0.6004933333333333,0.03865936343180497
emb16_g32_e8_mean,15,0.59332,0.04075295256612878,0.5975,0.040591378394925194,0.9948933333333333,0.007284079181599387,0.7458933333333333,0.03224461121460379,0.5784466666666667,0.0480609414726563
emb16_g64_e128_mean,15,0.6164866666666666,0.035910023802885584,0.6204000000000001,0.035326254906433055,0.9948066666666666,0.007824181076880156,0.76374,0.028293962001004494,0.59758,0.038266176784652585
emb16_g64_e16_mean,15,0.60648,0.03796020848956743,0.6108666666666667,0.03773841670285197,0.9953133333333333,0.007311230760829224,0.7565066666666667,0.030460993011359534,0.59254,0.04104025549906544
emb16_g64_e256_mean,15,0.6144666666666667,0.028956461570203408,0.6184933333333333,0.028987816816889195,0.99546,0.0070933369137119555,0.7626266666666667,0.022775910415131478,0.597,0.029895293466172406
emb16_g64_e32_mean,15,0.6164266666666667,0.029272792503490016,0.62018,0.030164577144155606,0.9949266666666666,0.007743888527336213,0.76372,0.023932231702992402,0.59996,0.03204705914744752
emb16_g64_e64_mean,15,0.6140066666666667,0.025887654715455906,0.61782,0.025038747116077065,0.9949066666666667,0.007697538258306694,0.7620266666666666,0.019944081351428094,0.5988866666666667,0.030487043305702965
emb16_g64_e8_mean,15,0.6163733333333333,0.029934200857086212,0.6205466666666667,0.03162299946618117,0.9950066666666667,0.007632961105501268,0.7639333333333334,0.024502322533258146,0.6035266666666667,0.03578566086869884
emb16_g8_e128_mean,15,0.62262,0.03968486937288389,0.6252866666666667,0.039805686360954336,0.9960466666666666,0.007120981740770086,0.7676333333333333,0.030881123838419632,0.60476,0.04227425423858557
emb16_g8_e16_mean,15,0.59538,0.04572772213251576,0.60018,0.04516506551370365,0.9961533333333333,0.00547890326181992,0.7481666666666666,0.03572369495100389,0.5773333333333334,0.05140032888536618
emb16_g8_e256_mean,15,0.6185466666666667,0.03623198797169363,0.6223133333333333,0.03571452018970647,0.99682,0.006993997426364993,0.76574,0.027512952793703752,0.5973666666666667,0.0423054651428439
emb16_g8_e32_mean,15,0.6150466666666666,0.04233427970445743,0.6201,0.0429446487602688,0.9961666666666666,0.0060545929044069705,0.7635466666666667,0.032659036523857626,0.5984333333333334,0.0455616170957633
emb16_g8_e64_mean,15,0.6115733333333333,0.04692998533783623,0.6151666666666666,0.046436433766519805,0.99542,0.0077391583152543976,0.75958,0.03689408005164438,0.5920066666666667,0.05135027426087095
emb16_g8_e8_mean,15,0.5757533333333333,0.05124576451720064,0.5792533333333333,0.052925039532567275,0.9952733333333333,0.006253852146210896,0.7310066666666667,0.04316038968887141,0.5589933333333333,0.05673243550293993
emb256_g128_e128_mean,15,0.59818,0.026589450109824702,0.6016066666666666,0.0268573604347823,0.99482,0.007854498256231458,0.74948,0.021147043021931666,0.58384,0.031981374043563
emb256_g128_e16_mean,15,0.59204,0.035492248650736594,0.5957733333333333,0.03551487548834124,0.99582,0.007427862603545046,0.7449866666666667,0.028785037449209294,0.57826,0.03702884589845366
emb256_g128_e256_mean,15,0.5995466666666667,0.017874118026859256,0.6032133333333334,0.017925873824752657,0.9948533333333334,0.0078029176472345285,0.7508866666666667,0.014428090986814907,0.5847933333333334,0.020265786321731878
emb256_g128_e32_mean,15,0.5979933333333334,0.02627569400107438,0.6017266666666666,0.02652512196462245,0.99544,0.007089710854470729,0.74974,0.02071417044302903,0.5805733333333334,0.032370300909203495
emb256_g128_e64_mean,15,0.5956333333333333,0.02644605470620919,0.5995133333333333,0.027164653153544594,0.99528,0.0074716798646622855,0.7479933333333333,0.022183631889515394,0.5808666666666666,0.02827165836428183
emb256_g128_e8_mean,15,0.5929,0.02524231141782157,0.59728,0.026385526335474155,0.9955733333333333,0.006346930266634707,0.7463133333333333,0.021060723996057105,0.5785733333333334,0.036220307379516606
emb256_g16_e128_mean,15,0.6118666666666667,0.03172731285426456,0.6155133333333334,0.0322575764448484,0.99548,0.007764405965687262,0.7602666666666666,0.025119504848016505,0.5918266666666666,0.03460589269942055
emb256_g16_e16_mean,15,0.59636,0.03239858462516975,0.6002333333333334,0.0355016431544607,0.9950733333333334,0.008090070339325751,0.7482266666666667,0.027737119704897444,0.5798133333333333,0.033677098336717656
emb256_g16_e256_mean,15,0.6140466666666666,0.037767235737317266,0.61794,0.038741096673023744,0.9965266666666667,0.0063980428555107825,0.76224,0.02999635215917332,0.59466,0.04004643376310626
emb256_g16_e32_mean,15,0.5929533333333333,0.030274785988783907,0.59724,0.031014277817989395,0.99498,0.007326878111251954,0.74602,0.025036978366294232,0.57908,0.03566266955795652
emb256_g16_e64_mean,15,0.5995533333333333,0.023989428227172628,0.6041666666666666,0.02395846604518111,0.9960333333333333,0.006271439418582671,0.7518466666666667,0.01855497109620364,0.5824666666666667,0.024448303086503236
emb256_g16_e8_mean,15,0.5966,0.046717540297286315,0.60122,0.046684751257771544,0.99558,0.006924820781590168,0.7488066666666667,0.03836561828860141,0.5837466666666666,0.04881596440666087
emb256_g256_e128_mean,15,0.5979866666666667,0.03209062761854901,0.60092,0.0325804981107235,0.9937,0.01051271339175301,0.7484666666666666,0.02584720672022598,0.5840066666666667,0.03337313861404677
